year,month,0-9y,10-19y,20-29y,30-39y,40-49y,50-59y,60-69y,70-79y,80yr+,Vaccine,cov1,0.6,,,,0-9y,10-19y,20-29y,30-39y,40-49y,50-59y,60-69y,70-79y,80yr+,
2020,1,0,0,0,0,0,0,0,0,0,1,cov 2,0.6,,,high priority,0,0,0.210246421173051,0.210246421173051,0.210246421173051,0.210246421173051,0,0,0,
2020,2,0,0,0,0,0,0,0,0,0,1,,,,,Vulnerable (%),0,0,6.70598109587439E-02,0.109899483398544,0.169049519090013,0.263685365695802,0.730552495632473,1,1,
2020,3,0,0,0,0,0,0,0,0,0,1,,0.6,8.97788323058934E-02,0,others,0,0,0.722693767868205,0.679854095428405,0.620704059736935,0.526068213131146,0.269447504367527,0,0,
2020,4,0,0,0,0,0,0,0,0,0,1,Jan-June,high priority,Vulnerable (%),others,Month,,,,,,,,,,
2020,5,0,0,0,0,0,0,0,0,0,1,,0.5,0,0,1,0,0,6.30739263519154E-02,6.30739263519154E-02,6.30739263519154E-02,6.30739263519154E-02,0,0,0,
2020,6,0,0,0,0,0,0,0,0,0,1,,0.5,0,0,2,0,0,0.126147852703831,0.126147852703831,0.126147852703831,0.126147852703831,0,0,0,
2020,7,0,0,0,0,0,0,0,0,0,1,,0,0.25,0,3,0,0,0.127652990584463,0.128614514526466,0.129942119810274,0.132066193760911,1.63970374990099E-02,2.24447080764733E-02,2.24447080764733E-02,
2020,8,0,0,0,0,0,0,0,0,0,1,,0,0.25,0,4,0,0,0.129158128465096,0.131081176349102,0.133736386916718,0.137984534817992,3.27940749980198E-02,4.48894161529467E-02,4.48894161529467E-02,
2020,9,0,0,0,0,0,0,0,0,0,1,,0,0.25,0,5,0,0,0.130663266345728,0.133547838171737,0.137530654023162,0.143902875875072,4.91911124970297E-02,0.06733412422942,0.06733412422942,
2020,10,0,0,0,0,0,0,0,0,0,1,,0,0.25,0,6,0,0,0.132168404226361,0.136014499994373,0.141324921129605,0.149821216932152,6.55881499960397E-02,8.97788323058934E-02,8.97788323058934E-02,
2020,11,0,0,0,0,0,0,0,0,0,1,,0,0,0,7,0,0,0.132168404226361,0.136014499994373,0.141324921129605,0.149821216932152,6.55881499960397E-02,8.97788323058934E-02,8.97788323058934E-02,
2020,12,0,0,0,0,0,0,0,0,0,1,,0,0,0,8,0,0,0.132168404226361,0.136014499994373,0.141324921129605,0.149821216932152,6.55881499960397E-02,8.97788323058934E-02,8.97788323058934E-02,
2021,1,0,0,6.30739263519154E-02,6.30739263519154E-02,6.30739263519154E-02,6.30739263519154E-02,0,0,0,1,,0,0,0,9,0,0,0.132168404226361,0.136014499994373,0.141324921129605,0.149821216932152,6.55881499960397E-02,8.97788323058934E-02,8.97788323058934E-02,
2021,2,0,0,0.126147852703831,0.126147852703831,0.126147852703831,0.126147852703831,0,0,0,1,,0,0,0,10,0,0,0.132168404226361,0.136014499994373,0.141324921129605,0.149821216932152,6.55881499960397E-02,8.97788323058934E-02,8.97788323058934E-02,
2021,3,0,0,0.127652990584463,0.128614514526466,0.129942119810274,0.132066193760911,1.63970374990099E-02,2.24447080764733E-02,2.24447080764733E-02,1,,0,0,0,11,0,0,0.132168404226361,0.136014499994373,0.141324921129605,0.149821216932152,6.55881499960397E-02,8.97788323058934E-02,8.97788323058934E-02,
2021,4,0,0,0.129158128465096,0.131081176349102,0.133736386916718,0.137984534817992,3.27940749980198E-02,4.48894161529467E-02,4.48894161529467E-02,1,,0,0,0,12,0,0,0.132168404226361,0.136014499994373,0.141324921129605,0.149821216932152,6.55881499960397E-02,8.97788323058934E-02,8.97788323058934E-02,
2021,5,0,0,0.130663266345728,0.133547838171737,0.137530654023162,0.143902875875072,4.91911124970297E-02,0.06733412422942,0.06733412422942,1,,0.3,0.810221167694107,0.419811405758237,,,,,,,,,,,
2021,6,0,0,0.132168404226361,0.136014499994373,0.141324921129605,0.149821216932152,6.55881499960397E-02,8.97788323058934E-02,8.97788323058934E-02,1,vaccine2,high priority,Vulnerable (%),others,Month,,,,,,,,,,
2021,7,0,0,0.202302119445315,0.208935719599766,0.218094932627132,0.232749021487007,0.183092521939334,0.224815693588244,0.224815693588244,2,,0,0,0,1,0,0,0,0,0,0,0,0,0,
2021,8,0,0,0.272435834664268,0.281856939205158,0.294864944124659,0.315676826041861,0.300596893882628,0.359852554870596,0.359852554870596,2,,0,0,0,2,0,0,0,0,0,0,0,0,0,
2021,9,0,0,0.342569549883222,0.354778158810551,0.371634955622185,0.398604630596715,0.418101265825923,0.494889416152947,0.494889416152947,2,,0,0,0,3,0,0,0,0,0,0,0,0,0,
2021,10,0,0,0.412703265102176,0.427699378415944,0.448404967119712,0.48153243515157,0.535605637769217,0.629926277435298,0.629926277435298,2,,0,0,0,4,0,0,0,0,0,0,0,0,0,
2021,11,0,0,0.48283698032113,0.500620598021336,0.525174978617239,0.564460239706424,0.653110009712511,0.764963138717649,0.764963138717649,2,,0,0,0,5,0,0,0,0,0,0,0,0,0,
2021,12,0,0,0.552970695540083,0.573541817626729,0.601944990114765,0.647388044261278,0.770614381655806,0.9,0.9,2,,0,0,0,6,0,0,0,0,0,0,0,0,0,
2022,1,0,0,0.552970695540083,0.573541817626729,0.601944990114765,0.647388044261278,0.770614381655806,0.9,0.9,2,,0.166666666666667,0.166666666666667,0.166666666666667,7,0,0,7.01337152189538E-02,7.29212196053926E-02,7.67700114975267E-02,8.29278045548544E-02,0.117504371943294,0.135036861282351,0.135036861282351,
2022,2,0,0,0.552970695540083,0.573541817626729,0.601944990114765,0.647388044261278,0.770614381655806,0.9,0.9,2,,0.166666666666667,0.166666666666667,0.166666666666667,8,0,0,0.140267430437908,0.145842439210785,0.153540022995053,0.165855609109709,0.235008743886589,0.270073722564702,0.270073722564702,
2022,3,0,0,0.552970695540083,0.573541817626729,0.601944990114765,0.647388044261278,0.770614381655806,0.9,0.9,2,,0.166666666666667,0.166666666666667,0.166666666666667,9,0,0,0.210401145656861,0.218763658816178,0.23031003449258,0.248783413664563,0.352513115829883,0.405110583847053,0.405110583847053,
2022,4,0,0,0.552970695540083,0.573541817626729,0.601944990114765,0.647388044261278,0.770614381655806,0.9,0.9,2,,0.166666666666667,0.166666666666667,0.166666666666667,10,0,0,0.280534860875815,0.29168487842157,0.307080045990107,0.331711218219417,0.470017487773177,0.540147445129404,0.540147445129404,
2022,5,0,0,0.552970695540083,0.573541817626729,0.601944990114765,0.647388044261278,0.770614381655806,0.9,0.9,2,,0.166666666666667,0.166666666666667,0.166666666666667,11,0,0,0.350668576094769,0.364606098026963,0.383850057487634,0.414639022774272,0.587521859716472,0.675184306411756,0.675184306411756,
2022,6,0,0,0.552970695540083,0.573541817626729,0.601944990114765,0.647388044261278,0.770614381655806,0.9,0.9,2,,0.166666666666667,0.166666666666667,0.166666666666667,12,0,0,0.420802291313723,0.437527317632356,0.46062006898516,0.497566827329126,0.705026231659766,0.810221167694107,0.810221167694107,
2022,7,0,0,0.552970695540083,0.573541817626729,0.601944990114765,0.647388044261278,0.770614381655806,0.9,0.9,2,,,,,,,,,,,,,,,
2022,8,0,0,0.552970695540083,0.573541817626729,0.601944990114765,0.647388044261278,0.770614381655806,0.9,0.9,2,,,,,,,,,,,,,,,
2022,9,0,0,0.552970695540083,0.573541817626729,0.601944990114765,0.647388044261278,0.770614381655806,0.9,0.9,2,,,,,,,,,,,,,,,
2022,10,0,0,0.552970695540083,0.573541817626729,0.601944990114765,0.647388044261278,0.770614381655806,0.9,0.9,2,,,,,,,,,,,,,,,
2022,11,0,0,0.552970695540083,0.573541817626729,0.601944990114765,0.647388044261278,0.770614381655806,0.9,0.9,2,,,,,,,,,,,,,,,
2022,12,0,0,0.552970695540083,0.573541817626729,0.601944990114765,0.647388044261278,0.770614381655806,0.9,0.9,2,,,,,,,,,,,,,,,
2023,1,0,0,0.552970695540083,0.573541817626729,0.601944990114765,0.647388044261278,0.770614381655806,0.9,0.9,2,,,,,,,,,,,,,,,
2023,2,0,0,0.552970695540083,0.573541817626729,0.601944990114765,0.647388044261278,0.770614381655806,0.9,0.9,2,,,,,,,,,,,,,,,
2023,3,0,0,0.552970695540083,0.573541817626729,0.601944990114765,0.647388044261278,0.770614381655806,0.9,0.9,2,,,,,,,,,,,,,,,
2023,4,0,0,0.552970695540083,0.573541817626729,0.601944990114765,0.647388044261278,0.770614381655806,0.9,0.9,2,,,,,,,,,,,,,,,
2023,5,0,0,0.552970695540083,0.573541817626729,0.601944990114765,0.647388044261278,0.770614381655806,0.9,0.9,2,,,,,,,,,,,,,,,
2023,6,0,0,0.552970695540083,0.573541817626729,0.601944990114765,0.647388044261278,0.770614381655806,0.9,0.9,2,,,,,,,,,,,,,,,
2023,7,0,0,0.552970695540083,0.573541817626729,0.601944990114765,0.647388044261278,0.770614381655806,0.9,0.9,2,,,,,,,,,,,,,,,
2023,8,0,0,0.552970695540083,0.573541817626729,0.601944990114765,0.647388044261278,0.770614381655806,0.9,0.9,2,,,,,,,,,,,,,,,
2023,9,0,0,0.552970695540083,0.573541817626729,0.601944990114765,0.647388044261278,0.770614381655806,0.9,0.9,2,,,,,,,,,,,,,,,
2023,10,0,0,0.552970695540083,0.573541817626729,0.601944990114765,0.647388044261278,0.770614381655806,0.9,0.9,2,,,,,,,,,,,,,,,
2023,11,0,0,0.552970695540083,0.573541817626729,0.601944990114765,0.647388044261278,0.770614381655806,0.9,0.9,2,,,,,,,,,,,,,,,
2023,12,0,0,0.552970695540083,0.573541817626729,0.601944990114765,0.647388044261278,0.770614381655806,0.9,0.9,2,,,,,,,,,,,,,,,
2024,1,0,0,0.552970695540083,0.573541817626729,0.601944990114765,0.647388044261278,0.770614381655806,0.9,0.9,2,,,,,,,,,,,,,,,
2024,2,0,0,0.552970695540083,0.573541817626729,0.601944990114765,0.647388044261278,0.770614381655806,0.9,0.9,2,,,,,,,,,,,,,,,
2024,3,0,0,0.552970695540083,0.573541817626729,0.601944990114765,0.647388044261278,0.770614381655806,0.9,0.9,2,,,,,,,,,,,,,,,
2024,4,0,0,0.552970695540083,0.573541817626729,0.601944990114765,0.647388044261278,0.770614381655806,0.9,0.9,2,,,,,,,,,,,,,,,
2024,5,0,0,0.552970695540083,0.573541817626729,0.601944990114765,0.647388044261278,0.770614381655806,0.9,0.9,2,,,,,,,,,,,,,,,
2024,6,0,0,0.552970695540083,0.573541817626729,0.601944990114765,0.647388044261278,0.770614381655806,0.9,0.9,2,,,,,,,,,,,,,,,
2024,7,0,0,0.552970695540083,0.573541817626729,0.601944990114765,0.647388044261278,0.770614381655806,0.9,0.9,2,,,,,,,,,,,,,,,
2024,8,0,0,0.552970695540083,0.573541817626729,0.601944990114765,0.647388044261278,0.770614381655806,0.9,0.9,2,,,,,,,,,,,,,,,
2024,9,0,0,0.552970695540083,0.573541817626729,0.601944990114765,0.647388044261278,0.770614381655806,0.9,0.9,2,,,,,,,,,,,,,,,
2024,10,0,0,0.552970695540083,0.573541817626729,0.601944990114765,0.647388044261278,0.770614381655806,0.9,0.9,2,,,,,,,,,,,,,,,
2024,11,0,0,0.552970695540083,0.573541817626729,0.601944990114765,0.647388044261278,0.770614381655806,0.9,0.9,2,,,,,,,,,,,,,,,
2024,12,0,0,0.552970695540083,0.573541817626729,0.601944990114765,0.647388044261278,0.770614381655806,0.9,0.9,2,,,,,,,,,,,,,,,
